PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
30856390,TNF,TF,Glial cell,Normal cell,Brain,low-throughput,Western blot;Microscopic observation;Immunohistochemistry,"Indirubin-3′-monoxime prevents aberrant activation of GSK-3β/NF-κB and alleviates high fat-high fructose induced Aβ-aggregation, gliosis and apoptosis in mice brain",TNF-α is a transcription factor that affects Glial cell,BAX,CL_0000125
30856390,IL6,TF,Glial cell,Normal cell,Brain,low-throughput,Western blot;Microscopic observation;Immunohistochemistry,"Indirubin-3′-monoxime prevents aberrant activation of GSK-3β/NF-κB and alleviates high fat-high fructose induced Aβ-aggregation, gliosis and apoptosis in mice brain",IL-6 is a transcription factor that affects Glial cell,BAX,CL_0000125
30856390,COX2,TF,Glial cell,Normal cell,Brain,low-throughput,Western blot;Microscopic observation;Immunohistochemistry,"Indirubin-3′-monoxime prevents aberrant activation of GSK-3β/NF-κB and alleviates high fat-high fructose induced Aβ-aggregation, gliosis and apoptosis in mice brain",COX-2 is a transcription factor that affects Glial cell,BAX,CL_0000125
30889303,NFE2,TF,Bone marrow cell,Normal cell,Blood,low-throughput,Immunohistochemistry;Microscopic observation;qPCR,GATA‐1: A potential novel biomarker for the differentiation of essential thrombocythemia and myelofibrosis,The hematopoietic transcription factor GATA 1 and its downstream targets NFE2 and FLI1 are responsible for determining erythroid and megakaryocyte line ages during hematopoietic stem cell differentiation.,CALR;JAK2;MPL,
30889303,FLI1,TF,Bone marrow cell,Normal cell,Blood,low-throughput,Immunohistochemistry;Microscopic observation;qPCR,GATA‐1: A potential novel biomarker for the differentiation of essential thrombocythemia and myelofibrosis,The hematopoietic transcription factor GATA 1 and its downstream targets NFE2 and FLI1 are responsible for determining erythroid and megakaryocyte line ages during hematopoietic stem cell differentiation.,CALR;JAK2;MPL,
30890796,STAT1,TF,T cell,Normal cell,Immune,low-throughput + high-throughput,Microscopic observation;Flow-throughput cytometry;Immunohistochemistry;ChIP-seq;ChIP–qPCR;RNA-seq;qPCR,Activation of naïve CD4+ T cells re-tunes STAT1 signaling to deliver unique cytokine responses in memory CD4+ T cells,"The cytokine IL-6 controls the survival, proliferation and effector characteristics of lymphocytes through activation of the tran-scription factors STAT1 and STAT3.",IL6,CL_0000084
30890796,STAT3,TF,T cell,Normal cell,Immune,low-throughput + high-throughput,Microscopic observation;Flow-throughput cytometry;Immunohistochemistry;ChIP-seq;ChIP–qPCR;RNA-seq;qPCR,Activation of naïve CD4+ T cells re-tunes STAT1 signaling to deliver unique cytokine responses in memory CD4+ T cells,"The cytokine IL-6 controls the survival, proliferation and effector characteristics of lymphocytes through activation of the tran-scription factors STAT1 and STAT3.",IL6,CL_0000084
30901906,WNT5A,TF,Fibroblast cell,Normal cell,Heart,low-throughput,Western blot;Immunofluorescent staining;qPCR,WNT3a and WNT5a Transported by Exosomes Activate WNT Signaling Pathways in Human Cardiac Fibroblasts,exosomes containing WNT proteins can functionally contribute to cardiac fibrosis by activating profibrotic WNT pathways on cardiac fibroblasts and may represent a novel mechanism of spreading profibrotic signals in the heart.,JUN;MAPK8,CL_0000057
30901906,JUN,TF,Fibroblast cell,Normal cell,Heart,low-throughput,Western blot;Immunofluorescent staining;qPCR,WNT3a and WNT5a Transported by Exosomes Activate WNT Signaling Pathways in Human Cardiac Fibroblasts,"In contrast,exosomes produced by WNT5a-producing L cells failed to activateβ-catenin-dependent response,but successfully triggered phosphorylation of ERK1/2 and JNK and stimulated IL-6 production.",WNT3A,CL_0000057
30907193,FOXP3,TF,T cell,Normal cell,Immune,low-throughput,RT-PCR,Effects of sitagliptin and vitamin D3 on T helper cell transcription factors and cytokine production in clinical subgroups of type 2 diabetes mellitus: highlights upregulation of FOXP3 and IL-37,"VitD3 may accelerate the process of T2DM treatment by exerting synergic anti-inflammatory effects on immune system through upregulation of FOXP3 and IL-37, and downregulation of RORct and BCL6 as well as IFN-C, IL-17 and IL-21 production.",IL17A;IL21,CL_0000084
30907193,BCL6,TF,T cell,Normal cell,Immune,low-throughput,RT-PCR,Effects of sitagliptin and vitamin D3 on T helper cell transcription factors and cytokine production in clinical subgroups of type 2 diabetes mellitus: highlights upregulation of FOXP3 and IL-37,"VitD3 may accelerate the process of T2DM treatment by exerting synergic anti-inflammatory effects on immune system through upregulation of FOXP3 and IL-37, and downregulation of RORct and BCL6 as well as IFN-C, IL-17 and IL-21 production.",IL17A;IL21,CL_0000084
30910359,RUNX2,TF,Osteoblast cell,Normal cell,Bone,low-throughput,Western blot;qPCR;Immunofluorescent staining,MST2 kinase regulates osteoblast differentiation by phosphorylating and inhibiting Runx2 in C2C12 cells,RUNX2 is a key transcription factor in osteoblastdifferentiation.,SAV1;STK3,CL_0000062
30910359,RUNX2,TF,Osteoblast cell,Normal cell,Bone,low-throughput,Western blot;qPCR;Immunofluorescent staining,MST2 kinase regulates osteoblast differentiation by phosphorylating and inhibiting Runx2 in C2C12 cells,RUNX2 is a key transcription factor in osteoblast differentiation.,SAV1;STK3,CL_0000062
30917001,CREB1,TF,Fibroblast cell,Normal cell,Uterus,low-throughput + high-throughput,Immunohistochemical staining;RNA-seq;RT-PCR;Western blot;Microscopic observation,Activation of prostaglandin EP4 receptor attenuates the induction of cyclooxygenase-2 expression by EP2 receptor activation in human amnion fibroblasts: implications for parturition,This feed-forward induction of COX-2 expression by PGE2 is mediated via its receptors coupled with the cAMP and PKA pathway and subsequent phosphorylation of the transcription factors cAMP-response element bindingprotein (CREB) and signal transducer and activator of transcription 3 (STAT3),CAMP,CL_0000057
30917001,STAT3,TF,Fibroblast cell,Normal cell,Uterus,low-throughput + high-throughput,Immunohistochemical staining;RNA-seq;RT-PCR;Western blot;Microscopic observation,Activation of prostaglandin EP4 receptor attenuates the induction of cyclooxygenase-2 expression by EP2 receptor activation in human amnion fibroblasts: implications for parturition,This feed-forward induction of COX-2 expression by PGE2 is mediated via its receptors coupled with the cAMP and PKA pathway and subsequent phosphorylation of the transcription factors cAMP-response element bindingprotein (CREB) and signal transducer and activator of transcription 3 (STAT3),CAMP,CL_0000057
30917001,COX2,TF,Fibroblast cell,Normal cell,Uterus,low-throughput + high-throughput,Immunohistochemical staining;RNA-seq;RT-PCR;Western blot;Microscopic observation,Activation of prostaglandin EP4 receptor attenuates the induction of cyclooxygenase-2 expression by EP2 receptor activation in human amnion fibroblasts: implications for parturition,This feed-forward induction of COX-2 expression by PGE2 is mediated via its receptors coupled with the cAMP and PKA pathway and subsequent phosphorylation of the transcription factors cAMP-response element bindingprotein (CREB) and signal transducer and activator of transcription 3 (STAT3),CAMP,CL_0000057
30919561,JUN,TF,T cell,Normal cell,Lymph,low-throughput,RT-PCR;qRT-PCR;Western blot,Epimagnolin A inhibits IL-6 production by inhibiting p38/NF-κB and AP-1 signaling pathways in PMA-stimulated THP-1 cells,Epimagnolin A attenuated the binding affinity of NF-κB and AP-1 transcription factors to IL-6 promoter and IL-6 production through p38/NF-kB and AP-1 signaling pathways in the PMA-stimulated THP-2 cells,IL6,CL_0000084
30942926,TNFAIP6,TF,Stem cell,Normal cell,Lymph,low-throughput + high-throughput,RNA-seq;qRT-PCR;Microscopic observation;Microscopic observation;Immunofluorescent staining,TNF-Stimulated Gene-6 Is a Key Regulator in Switching Stemness and Biological Properties of Mesenchymal Stem Cells,"TNFstimulated gene-6 (TSG-6), a potent tissue-protective and anti-inflammatory factor, has been demonstrated to be responsible for a significant part of the tissue-protecting properties mediated by MSCs.",IL6,CL_0000034
30944148,FOXO1,TF,Stem cell,Normal cell,Immune,low-throughput + high-throughput,Western blot;RNA-seq;qRT-PCR;Flow-throughput cytometry;Gene knock down;Immunofluorescent staining,Forkhead box O1 (FOXO1) controls the migratory response of Toll-like receptor (TLR3) stimulated human mesenchymal stromal cells,"The promoter region stimulated by TLR3 also increased the expression of FOXO1, FOXO3, NF-κB1 and RELA, which are related to cell migration",TLR3,CL_0000034
30944148,FOXO3,TF,Stem cell,Normal cell,Immune,low-throughput + high-throughput,Western blot;RNA-seq;qRT-PCR;Flow-throughput cytometry;Gene knock down;Immunofluorescent staining,Forkhead box O1 (FOXO1) controls the migratory response of Toll-like receptor (TLR3) stimulated human mesenchymal stromal cells,"The promoter region stimulated by TLR3 also increased the expression of FOXO1, FOXO3, NF-κB1 and RELA, which are related to cell migration",TLR3,CL_0000034
30944148,NFKB1,TF,Stem cell,Normal cell,Immune,low-throughput + high-throughput,Western blot;RNA-seq;qRT-PCR;Flow-throughput cytometry;Gene knock down;Immunofluorescent staining,Forkhead box O1 (FOXO1) controls the migratory response of Toll-like receptor (TLR3) stimulated human mesenchymal stromal cells,"The promoter region stimulated by TLR3 also increased the expression of FOXO1, FOXO3, NF-κB1 and RELA, which are related to cell migration",TLR3,CL_0000034
30944148,RELA,TF,Stem cell,Normal cell,Immune,low-throughput + high-throughput,Western blot;RNA-seq;qRT-PCR;Flow-throughput cytometry;Gene knock down;Immunofluorescent staining,Forkhead box O1 (FOXO1) controls the migratory response of Toll-like receptor (TLR3) stimulated human mesenchymal stromal cells,"The promoter region stimulated by TLR3 also increased the expression of FOXO1, FOXO3, NF-κB1 and RELA, which are related to cell migration",TLR3,CL_0000034
30944169,GATA4,TF,Cartilage cell,Normal cell,Bone,low-throughput + high-throughput,Microscopic observation;Immunofluorescent staining;RNA-seq;qRT-PCR;Immunohistochemistry;Microscopic observation,Stress-activated miR-204 governs senescent phenotypes of chondrocytes to promote osteoarthritis development,Transcription factor GATA4 regulates the expression of MIR-204 in Cartilage cell,ASPRV1,CL_0000138
30949172,GATA3,TF,Stem cell,Normal cell,Blood,low-throughput + high-throughput,Western Blot;Flow Cytometry;qPCR;mRNA-seq Analysis,Transient Expression of GATA3 in Hematopoietic Stem Cells Facilitates Helper Innate Lymphoid Cell Differentiation,"The transcription factors GATA3, TOX, NFIL3, and ID2 regulate the differentiation of hematopoietic stem cells (HSCs) into innate lymphoid cells (ILCs).  ",CD34,CL_0000034
30949172,TOX,TF,Stem cell,Normal cell,Blood,low-throughput + high-throughput,Western Blot;Flow Cytometry;qPCR;mRNA-seq Analysis,Transient Expression of GATA3 in Hematopoietic Stem Cells Facilitates Helper Innate Lymphoid Cell Differentiation,"The transcription factors GATA3, TOX, NFIL3, and ID2 regulate the differentiation of hematopoietic stem cells (HSCs) into innate lymphoid cells (ILCs).  ",CD34,CL_0000034
30949172,NFIL3,TF,Stem cell,Normal cell,Blood,low-throughput + high-throughput,Western Blot;Flow Cytometry;qPCR;mRNA-seq Analysis,Transient Expression of GATA3 in Hematopoietic Stem Cells Facilitates Helper Innate Lymphoid Cell Differentiation,"The transcription factors GATA3, TOX, NFIL3, and ID2 regulate the differentiation of hematopoietic stem cells (HSCs) into innate lymphoid cells (ILCs).  ",CD34,CL_0000034
30949172,ID2,TF,Stem cell,Normal cell,Blood,low-throughput + high-throughput,Western Blot;Flow Cytometry;qPCR;mRNA-seq Analysis,Transient Expression of GATA3 in Hematopoietic Stem Cells Facilitates Helper Innate Lymphoid Cell Differentiation,"The transcription factors GATA3, TOX, NFIL3, and ID2 regulate the differentiation of hematopoietic stem cells (HSCs) into innate lymphoid cells (ILCs).  ",CD34,CL_0000034
30952425,RUNX2,TF,Osteoblasts cell,Normal cell,Bone marrow,low-throughput,qRT-PCR;Western blot;Immunofluorescent staining,The simultaneous downregulation of TRPM7 and MagT1 in human mesenchymal stem cells in vitro: Effects on growth and osteogenic differentiation,Expression of RUNX2 and OSTERIX activates osteoblasts,MAGT1;TRPM7,CL_0000062
30952900,PBX1,TF,Embryonic kidney cell,Normal cell,Kidney,low-throughput,Immunofluorescent staining,The human HOXA9 protein uses paralog-specifc residues of the homeodomain to interact with TALE-class cofactors,HOXA9 is regulated by TALE cofactors PBX1 and MEIS1,HOXA9,
30952900,MEIS1,TF,Embryonic kidney cell,Normal cell,Kidney,low-throughput,Immunofluorescent staining,The human HOXA9 protein uses paralog-specifc residues of the homeodomain to interact with TALE-class cofactors,HOXA9 is regulated by TALE cofactors PBX1 and MEIS1,HOXA9,
30959047,TP53,TF,Ovary cell,Normal cell,Ovarian,low-throughput,Immunohistochemistry;Immunocytochemical analysis;Immunofluorescent staining,Comparison of the effects of synthetic and plant-derived mTOR regulators on healthy human ovarian cells,The action of mTOR regulators on ovarian cell apoptosis can be mediated by p53,MTOR,
30959909,TGFB1,TF,Cartilage cell,Normal cell,Bone,low-throughput,QRT-PCR;Western blot;Immunofluorescent staining,Bioreactor-Controlled Physoxia Regulates TGF-β Signaling to Alter Extracellular Matrix Synthesis by Human Chondrocytes,TGF-β is a transcription factor that regulates human chondrocytes,TGFBR1,CL_0000138
30980110,WNT5A,TF,Stromal cell,Normal cell,Bone marrow,low-throughput,qRT-PCR;Western blot;Microarray analysis;Micro‑CT analysis,"Regulation of WNT5A and WNT11 during MSC in vitro chondrogenesis: WNT inhibition lowers BMP and hedgehog activity, and reduces hypertrophy",Transcription factors WNT5A and WNT11 regulate chondrogenesis in MSC,BMPFAMILY,CL_0000499
30980110,WNT11,TF,Stromal cell,Normal cell,Bone marrow,low-throughput,qRT-PCR;Western blot;Microarray analysis;Micro‑CT analysis,"Regulation of WNT5A and WNT11 during MSC in vitro chondrogenesis: WNT inhibition lowers BMP and hedgehog activity, and reduces hypertrophy",Transcription factors WNT5A and WNT11 regulate chondrogenesis in MSC,BMPFAMILY,CL_0000499
30981888,KDM4B,TF,Osteoblast cell,Normal cell,Bone,low-throughput,PCR;Western blot;Immunohistochemistry,IL-6 and sIL-6R induces STAT3-dependent differentiation of human VSMCs into osteoblast-like cells through JMJD2B-mediated histone demethylation of RUNX2,JMJD2 inhibitions RUNX2 gene expression,RUNX2,CL_0000062
30981888,STAT3,TF,Osteoblast cell,Normal cell,Bone,low-throughput,PCR;Western blot;Immunohistochemistry,IL-6 and sIL-6R induces STAT3-dependent differentiation of human VSMCs into osteoblast-like cells through JMJD2B-mediated histone demethylation of RUNX2,The down-regulation of transcriptional activator (STAT)3 decreased the expression of RUNX2 mRNA and osteoblast transdifferentiation in IL-6/sIL-6R induced osteoblasts,IL6;RUNX2,CL_0000062
30988188,CD40,TF,T cell,Normal cell,Lymph,low-throughput,Weston blot,"Hypoxia-inducible factors in CD4+T cells promote metabolism, switch cytokine secretion, and T cell help in humoral immunity",TFH cells help GC B cellsthrough CD40 engagement and cytokine signals.,EPAS1;HIF1A,CL_0000084
30988188,FOXP3,TF,T cell,Normal cell,Lymph,low-throughput,Weston blot,"Hypoxia-inducible factors in CD8+T cells promote metabolism, switch cytokine secretion, and T cell help in humoral immunity",Subsets of FOXP3+regulatory T cells (Treg) that express CXCR5(21–24).,EPAS1;HIF1A,CL_0000084
30988422,KLF7,TF,Stem cell,Normal cell,Bone marrow,low-throughput + high-throughput,RNA-seq;PCR,Engineering a haematopoietic stem cell niche by revitalizing mesenchymal stromal cells,"Five genes encoding transcription factors (KLF7, OSTF1, XBP1, IRF3 and IRF7) that restored HSC niche function in cultured bone marrow-derived MSCs.",MEF2C,CL_0000034
30988422,XBP1,TF,Stem cell,Normal cell,Bone marrow,low-throughput + high-throughput,RNA-seq;PCR,Engineering a haematopoietic stem cell niche by revitalizing mesenchymal stromal cells,"Five genes encoding transcription factors (KLF7, OSTF1, XBP1, IRF3 and IRF7) that restored HSC niche function in cultured bone marrow-derived MSCs.",MEF2C,CL_0000034
30988422,IRF3,TF,Stem cell,Normal cell,Bone marrow,low-throughput + high-throughput,RNA-seq;PCR,Engineering a haematopoietic stem cell niche by revitalizing mesenchymal stromal cells,"Five genes encoding transcription factors (KLF7, OSTF1, XBP1, IRF3 and IRF7) that restored HSC niche function in cultured bone marrow-derived MSCs.",MEF2C,CL_0000034
30988422,IRF7,TF,Stem cell,Normal cell,Bone marrow,low-throughput + high-throughput,RNA-seq;PCR,Engineering a haematopoietic stem cell niche by revitalizing mesenchymal stromal cells,"Five genes encoding transcription factors (KLF7, OSTF1, XBP1, IRF3 and IRF7) that restored HSC niche function in cultured bone marrow-derived MSCs.",MEF2C,CL_0000034
30988429,IRF1,TF,Liver cell,Normal cell,Liver,low-throughput + high-throughput,Weston blot;RNA-seq;Mass spectrometry,Basal expression of interferon regulatory factor 1 drives intrinsic hepatocyte resistance to multiple RNA viruses,"Signal downstream through interferon regulatory factors (IRFs), transcription factors that induce synthesis of type I and type III interferons1.",IRF3;STAT1;MAVS,CL_0000182
30988429,IRF3,TF,Liver cell,Normal cell,Liver,low-throughput + high-throughput,Weston blot;RNA-seq;Mass spectrometry,Basal expression of interferon regulatory factor 1 drives intrinsic hepatocyte resistance to multiple RNA viruses,"We show that constitutively expressed IRF1 acts independently of mito-chondrial antiviral signalling (MAVS) protein, IRF3 and signal transducer and activator of transcription 1 (STAT1)-dependent signalling to provide intrinsic antiviral protection in actino-mycin D-treated cells",IRF1,CL_0000182
30988429,STAT1,TF,Liver cell,Normal cell,Liver,low-throughput + high-throughput,Weston blot;RNA-seq;Mass spectrometry,Basal expression of interferon regulatory factor 1 drives intrinsic hepatocyte resistance to multiple RNA viruses,"We show that constitutively expressed IRF1 acts independently of mito-chondrial antiviral signalling (MAVS) protein, IRF3 and signal transducer and activator of transcription 1 (STAT1)-dependent signalling to provide intrinsic antiviral protection in actino-mycin D-treated cells",IRF1,CL_0000182
31014396,JUN,TF,Smooth muscle cell,Normal cell,Smooth muscle,low-throughput + high-throughput,qRT-PCR;Gene knock down;ChIP-seq;Western blot;DNA-seq;RNA-seq;qPCR,TCF21 and AP-1 interact through epigenetic modifications to regulate coronary artery disease gene expression,AP-1 is a transcription factor in Coronary vascular smooth muscle cell.,TCF21;JUN,CL_0000192
31042082,STAT3,TF,Epithelial cell,Normal cell,Lung,low-throughput,Western blot;qRT-PCR;Immunohistochemistry;Gene knock down,"Organic dust induces inflammatory gene expression in lung epithelial cells via
ROS-dependent STAT-3 activation",STAT-3 is an important transcription factor.STAT-3 activation is dependent on the activation of nonreceptor tyrosineprotein kinase 2 (TYK2) and epidermal growth factor receptor (EGFR) tyrosine kinases. ,EGFR;TYK2,CL_0000066
31092906,PAX7,TF,Satellite cell,Normal cell,Muscle,low-throughput,Immunohistochemistry;qPCR;Microscopic observation;Immunofluorescent staining,Biallelic variants in the transcription factor PAX7 are a new genetic cause of myopathy,Specific transcription factor PAX7 is key regulator of the function of satellite cells.,MYF5,
31099286,STAT6,TF,Macrophage cell,Normal cell,Uterus,low-throughput,Flow-throughput cytometry;Immunohistochemistry,The supernatant of cervical carcinoma cells lines induces a decrease in phosphorylation of STAT-1 and NF-kB transcription factors associated with changes in profiles of cytokines and growth factors in macrophages derived from U937 cells.,STAT3 and STAT6 are transcription factors in M2 macrophages,IL10,CL_0000235
31099286,STAT3,TF,Macrophage cell,Normal cell,Uterus,low-throughput,Flow-throughput cytometry;Immunohistochemistry,The supernatant of cervical carcinoma cells lines induces a decrease in phosphorylation of STAT-1 and NF-kB transcription factors associated with changes in profiles of cytokines and growth factors in macrophages derived from U937 cells.,STAT3 and STAT6 are transcription factors in M2 macrophages,IL10,CL_0000235
31130363,E2F1,TF,Embryonic cell,Normal cell,Embryo,low-throughput + high-throughput,qRT‐PCR;Western blot;Flow-throughput cytometry;RNA-seq;Immunofluorescent staining;qPCR,Cyclin F Controls Cell-Cycle Transcriptional Outputs by Directing the Degradation of the Three Activator E2Fs,"E2F1, E2F2, and E2F3A, the three activators of the E2F family of transcription factors, are key regulators of the G1/S transition, promoting transcription of hundreds of genes critical for cell-cycle progression. ",,
31130363,E2F2,TF,Embryonic cell,Normal cell,Embryo,low-throughput + high-throughput,qRT‐PCR;Western blot;Flow-throughput cytometry;RNA-seq;Immunofluorescent staining;qPCR,Cyclin F Controls Cell-Cycle Transcriptional Outputs by Directing the Degradation of the Three Activator E2Fs,"E2F1, E2F2, and E2F3A, the three activators of the E2F family of transcription factors, are key regulators of the G1/S transition, promoting transcription of hundreds of genes critical for cell-cycle progression. ",,
31135885,ATF3,TF,Muscle cell,Normal cell,Muscle,low-throughput,RT‐PCR;Western blot;qPCR,Exercise Induction of Key Transcriptional Regulators of Metabolic Adaptation in Muscle Is Preserved in Type 2 Diabetes,"Acute exercise increased gene expression of the nuclear hormone receptor 4A (NR4A) subfamily (;4- to 36-fold) and other key transcription factors, including ATF3, EGR1, JUNB, SIK1, PPARA, and PPARG (;1.5- to 12-fold), but with no differences between groups.",SIK1,CL_0000187
31135885,EGR1,TF,Muscle cell,Normal cell,Muscle,low-throughput,RT‐PCR;Western blot;qPCR,Exercise Induction of Key Transcriptional Regulators of Metabolic Adaptation in Muscle Is Preserved in Type 2 Diabetes,"Acute exercise increased gene expression of the nuclear hormone receptor 4A (NR4A) subfamily (;4- to 36-fold) and other key transcription factors, including ATF3, EGR1, JUNB, SIK1, PPARA, and PPARG (;1.5- to 12-fold), but with no differences between groups.",SIK1,CL_0000187
31135885,JUNB,TF,Muscle cell,Normal cell,Muscle,low-throughput,RT‐PCR;Western blot;qPCR,Exercise Induction of Key Transcriptional Regulators of Metabolic Adaptation in Muscle Is Preserved in Type 2 Diabetes,"Acute exercise increased gene expression of the nuclear hormone receptor 4A (NR4A) subfamily (;4- to 36-fold) and other key transcription factors, including ATF3, EGR1, JUNB, SIK1, PPARA, and PPARG (;1.5- to 12-fold), but with no differences between groups.",SIK1,CL_0000187
31135885,PPARA,TF,Muscle cell,Normal cell,Muscle,low-throughput,RT‐PCR;Western blot;qPCR,Exercise Induction of Key Transcriptional Regulators of Metabolic Adaptation in Muscle Is Preserved in Type 2 Diabetes,"Acute exercise increased gene expression of the nuclear hormone receptor 4A (NR4A) subfamily (;4- to 36-fold) and other key transcription factors, including ATF3, EGR1, JUNB, SIK1, PPARA, and PPARG (;1.5- to 12-fold), but with no differences between groups.",SIK1,CL_0000187
31135885,PPARG,TF,Muscle cell,Normal cell,Muscle,low-throughput,RT‐PCR;Western blot;qPCR,Exercise Induction of Key Transcriptional Regulators of Metabolic Adaptation in Muscle Is Preserved in Type 2 Diabetes,"Acute exercise increased gene expression of the nuclear hormone receptor 4A (NR4A) subfamily (;4- to 36-fold) and other key transcription factors, including ATF3, EGR1, JUNB, SIK1, PPARA, and PPARG (;1.5- to 12-fold), but with no differences between groups.",SIK1,CL_0000187
31138201,SP1,TF,Embryonic cell,Normal cell,Heart,low-throughput + high-throughput,DNA-seq;Western blot,DNA methylation status of TBX20 in patients with tetralogy of Fallot,The SP1 transcription factor can bind to its binding site within the TBX20 promoter M1 region and promote TBX20 gene expression.,TBX20,
31138678,TEAD1,TF,Embryonic cell,Normal cell,Muscle,low-throughput + high-throughput,qRT‐PCR;Western blot;RT-PCR;Immunofluorescent staining,"VGLL3 operates via TEAD1, TEAD3 and TEAD4 to influence myogenesis in skeletal muscle","TEAD1, TEAD3, and TEAD4 bind to VGLL3 in myoblasts and/or myotubules",VGLL3,
31138678,TEAD3,TF,Embryonic cell,Normal cell,Muscle,low-throughput + high-throughput,qRT‐PCR;Western blot;RT-PCR;Immunofluorescent staining,"VGLL3 operates via TEAD1, TEAD3 and TEAD4 to influence myogenesis in skeletal muscle","TEAD1, TEAD3, and TEAD4 bind to VGLL3 in myoblasts and/or myotubules",VGLL3,
31138678,TEAD4,TF,Embryonic cell,Normal cell,Muscle,low-throughput + high-throughput,qRT‐PCR;Western blot;RT-PCR;Immunofluorescent staining,"VGLL3 operates via TEAD1, TEAD3 and TEAD4 to influence myogenesis in skeletal muscle","TEAD1, TEAD3, and TEAD4 bind to VGLL3 in myoblasts and/or myotubules",VGLL3,
31152134,VEGFA,TF,Bone cell,Normal cell,Embryo,low-throughput + high-throughput,qRT-PCR;RNA-Seq;Microscopic observation,Possible cooption of a VEGF-driven tubulogenesis program for biomineralization in echinoderms,VEGF is vascular endothelial growth factor.The critical role of VEGF signaling in sea urchin spiculogenesis.,,CL_0000137
31152707,HOXA10,TF,Stem cell,Normal cell,Immune,low-throughput + high-throughput,qRT-PCR;Western blot;Flow-throughput cytometry;DNA-seq,Physiological expression of miR-130a during differentiation of CD34+ human hematopoietic stem cells results in the inhibition of monocyte differentiation,"HOXA10, IRF8, KLF4, MAFB and PU-1 are transcription factors.",MIR130A,CL_0000034
31152707,IRF8,TF,Stem cell,Normal cell,Immune,low-throughput + high-throughput,qRT-PCR;Western blot;Flow-throughput cytometry;DNA-seq,Physiological expression of miR-130a during differentiation of CD34+ human hematopoietic stem cells results in the inhibition of monocyte differentiation,"HOXA10, IRF8, KLF4, MAFB and PU-1 are transcription factors.",MIR130A,CL_0000034
31152707,KLF4,TF,Stem cell,Normal cell,Immune,low-throughput + high-throughput,qRT-PCR;Western blot;Flow-throughput cytometry;DNA-seq,Physiological expression of miR-130a during differentiation of CD34+ human hematopoietic stem cells results in the inhibition of monocyte differentiation,"HOXA10, IRF8, KLF4, MAFB and PU-1 are transcription factors.",MIR130A,CL_0000034
31152707,MAFB,TF,Stem cell,Normal cell,Immune,low-throughput + high-throughput,qRT-PCR;Western blot;Flow-throughput cytometry;DNA-seq,Physiological expression of miR-130a during differentiation of CD34+ human hematopoietic stem cells results in the inhibition of monocyte differentiation,"HOXA10, IRF8, KLF4, MAFB and PU-1 are transcription factors.",MIR130A,CL_0000034
31160892,MITF,TF,Epithelial cell,Normal cell,Retina,low-throughput,qRT-PCR;Immunofluorescent staining;Microscopic observation;Weston blot,Nutrient deprivation and lysosomal stress induce activation of TFEB in retinal pigment epithelial cells,MITF is a microeym-related transcription factor.,TFEB,CL_0000066
31164150,TP63,TF,Keratinocytes cell,Normal cell,Epidermis,high-throughput,ATAC-seq;ChIP‑seq;RNA‑seq,p63 cooperates with CTCF to modulate chromatin architecture in skin keratinocytes,The transcription factor P63 regulates epidermal genes and the enhancer landscape in skin keratinocytes.,CTCF,CL_0000312
31207604,TOX,TF,T cell,Normal cell,Lymph,low-throughput + high-throughput,Sequencing technique;Flow cytometric;Bioinformatics method;PCR,TOX is a critical regulator of tumour-specific T cell differentiation,Nuclear factor TOX as a crucial regulator of the differentiation of tumour-specific T (TST) cells.,TIGIT;PDCD1,CL_0000084
31209803,IRF1,TF,T cell,Normal cell,Lymph,low-throughput + high-throughput,PCR;siRNA;Weston blot;Sequencing technique,Inhibition of PARP1 Increases IRF-dependent Gene Transcription in Jurkat Cells*,Iterferon regulatory factor 1 (IRF1) is a critical transcription factor for the development of both the innate and adaptive immune responses against infections.,PSMB9;IL12RB2;OAS1,CL_0000084
31278978,GCM1,TF,Syncytiotrophoblast cell,Normal cell,Placenta,low-throughput,PCR;Immunofluorescent staining;Western blot,Effects of Bisphenol A on endogenous retroviral envelopes expression and trophoblast fusion in BeWo cells,"The gene expression of transcription factors regulating HERV expression (i.e. GCM1, PPARγ, ERα and ERβ) was evaluated.",ERAL1,
31280211,NANOG,TF,Fibroblast cell,Normal cell,Breast,low-throughput,Western blot;Immunohistochemistry;Immunofluorescent staining,Finasteride Enhances Stem Cell Signals of Human Dermal Papilla Cells,"Treatment of DPCs with FN was able to significantly increase their aggregation behavior and the expression of stem cell transcription factors Nanog and Sox-2, when compared to the non-treated control.",AKT1,CL_0000057
31280211,SOX2,TF,Fibroblast cell,Normal cell,Breast,low-throughput,Western blot;Immunohistochemistry;Immunofluorescent staining,Finasteride Enhances Stem Cell Signals of Human Dermal Papilla Cells,"Treatment of DPCs with FN was able to significantly increase their aggregation behavior and the expression of stem cell transcription factors Nanog and Sox-2, when compared to the non-treated control.",AKT1,CL_0000057
